,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
17909,2019-12-19,BAYERCROP,0.09947525838831994,3469.40380859375,MIDCAP,FERTILISERS & PESTICIDES,19895.05167766399,6.0
17890,2019-12-18,ADANIGREEN,0.10072756562672154,135.10000610351562,LARGE,POWER,20145.513125344307,149.0
17891,2019-12-18,POLYMED,0.10039184091367857,208.31549072265625,SMALLCAP,PHARMA,20078.368182735714,96.0
17892,2019-12-18,POLYPLEX,0.10022030015041719,459.34320068359375,SMALLCAP,INDUSTRIAL MANUFACTURING,20044.060030083438,44.0
17893,2019-12-18,BHARTIARTL,0.10014619454459395,436.731689453125,LARGE,TELECOM,20029.23890891879,46.0
17894,2019-12-18,AARTIDRUGS,0.10013232393818697,123.88536071777344,SMALLCAP,PHARMA,20026.464787637393,162.0
17895,2019-12-18,HSCL,0.1001304266830045,58.18609237670898,SMALLCAP,CHEMICALS,20026.0853366009,344.0
17896,2019-12-18,GUJGASLTD,0.09963107862125294,228.70681762695312,MIDCAP,OIL & GAS,19926.215724250585,87.0
17897,2019-12-18,NATCOPHARM,0.09960569774069143,577.8256225585938,MIDCAP,PHARMA,19921.139548138286,34.0
17898,2019-12-18,ESABINDIA,0.0995463154028221,1171.5531005859375,SMALLCAP,INDUSTRIAL MANUFACTURING,19909.263080564422,17.0
17899,2019-12-18,BAYERCROP,0.09946825637863088,3520.67529296875,MIDCAP,FERTILISERS & PESTICIDES,19893.651275726177,6.0
17880,2019-12-17,ADANIGREEN,0.10063666806631778,135.55000305175778,LARGE,POWER,20127.333613263556,148.0
17881,2019-12-17,GUJGASLTD,0.10032539883395279,227.9102783203125,MIDCAP,OIL & GAS,20065.079766790557,88.0
17882,2019-12-17,ESABINDIA,0.10015000629857287,1179.5377197265625,SMALLCAP,INDUSTRIAL MANUFACTURING,20030.001259714576,17.0
17883,2019-12-17,RCF,0.1000449179215932,45.9000015258789,SMALLCAP,FERTILISERS & PESTICIDES,20008.98358431864,436.0
17884,2019-12-17,NATCOPHARM,0.10002950335771682,575.7994384765625,MIDCAP,PHARMA,20005.900671543364,35.0
17885,2019-12-17,MOIL,0.09992094369088814,129.34544372558594,SMALLCAP,METALS,19984.18873817763,155.0
17886,2019-12-17,POLYPLEX,0.09990576040079083,467.265380859375,SMALLCAP,INDUSTRIAL MANUFACTURING,19981.152080158165,43.0
17887,2019-12-17,SONATSOFTW,0.09978913898247409,285.5245361328125,SMALLCAP,IT,19957.827796494817,70.0
17888,2019-12-17,SWARAJENG,0.0996073319031223,1061.197509765625,SMALLCAP,INDUSTRIAL MANUFACTURING,19921.46638062446,19.0
17889,2019-12-17,DIXON,0.09959033054457132,3544.03759765625,SMALLCAP,CONSUMER GOODS,19918.066108914263,6.0
17870,2019-12-16,ADANIGREEN,0.10092851207728198,134.39999389648438,LARGE,POWER,20185.702415456395,150.0
17871,2019-12-16,RCF,0.10065186011640193,45.25,SMALLCAP,FERTILISERS & PESTICIDES,20130.372023280386,445.0
